accessibility.chat.tts.says,chat.type.text.narrate
item.iron_sword.name,item.minecraft.iron_sword
item.stone_sword.name,item.minecraft.stone_sword
item.wooden_sword.name,item.minecraft.wooden_sword
item.unbreakable,item.unbreakable
item.wheat.name,item.minecraft.wheat
item.written_book.name,item.minecraft.written_book
item.glowstone_dust.name,item.minecraft.glowstone_dust
item.shulker_shell.name,item.minecraft.shulker_shell
item.totem.name,item.minecraft.totem_of_undying
item.turtle_helmet.name,item.minecraft.turtle_helmet
item.turtle_shell_piece.name,item.minecraft.turtle_scute
item.phantom_membrane.name,item.minecraft.phantom_membrane
item.sweet_berries.name,item.minecraft.sweet_berries
item.suspicious_stew.name,item.minecraft.suspicious_stew
item.banner_pattern.creeper,item.minecraft.creeper_banner_pattern.desc
item.banner_pattern.flower,item.minecraft.flower_banner_pattern.desc
item.banner_pattern.globe,item.minecraft.globe_banner_pattern.desc
item.banner_pattern.name,item.minecraft.skull_banner_pattern
item.banner_pattern.piglin,item.minecraft.piglin_banner_pattern.desc
item.banner_pattern.skull,item.minecraft.skull_banner_pattern.desc
item.banner_pattern.thing,item.minecraft.mojang_banner_pattern.desc
item.bucketPowderSnow.name,item.minecraft.powder_snow_bucket
item.shield.name,item.minecraft.shield
item.shield.white.name,item.minecraft.shield.white
item.shield.lime.name,item.minecraft.shield.lime
item.shield.yellow.name,item.minecraft.shield.yellow
item.shield.silver.name,item.minecraft.shield.light_gray
item.shield.pink.name,item.minecraft.shield.pink
item.shield.purple.name,item.minecraft.shield.purple
item.shield.red.name,item.minecraft.shield.red
item.shield.orange.name,item.minecraft.shield.orange
item.shield.lightBlue.name,item.minecraft.shield.light_blue
item.shield.magenta.name,item.minecraft.shield.magenta
item.shield.gray.name,item.minecraft.shield.gray
item.shield.green.name,item.minecraft.shield.green
item.shield.cyan.name,item.minecraft.shield.cyan
item.shield.brown.name,item.minecraft.shield.brown
item.shield.black.name,item.minecraft.shield.black
item.shield.blue.name,item.minecraft.shield.blue
item.goat_horn.name,item.minecraft.goat_horn
item.minecraft.goat_horn.sound.0,instrument.minecraft.ponder_goat_horn
item.minecraft.goat_horn.sound.1,instrument.minecraft.sing_goat_horn
item.minecraft.goat_horn.sound.2,instrument.minecraft.seek_goat_horn
item.minecraft.goat_horn.sound.3,instrument.minecraft.feel_goat_horn
item.minecraft.goat_horn.sound.4,instrument.minecraft.admire_goat_horn
item.minecraft.goat_horn.sound.5,instrument.minecraft.call_goat_horn
item.minecraft.goat_horn.sound.6,instrument.minecraft.yearn_goat_horn
item.minecraft.goat_horn.sound.7,instrument.minecraft.dream_goat_horn
itemGroup.search,itemGroup.search
itemGroup.name.glass,block.minecraft.glass
itemGroup.name.sandstone,block.minecraft.sandstone
itemGroup.name.stainedClay,block.minecraft.terracotta
itemGroup.name.stone,block.minecraft.stone
itemGroup.name.monsterStoneEgg,block.minecraft.infested_stone
jigsaw.title.target_pool,jigsaw_block.pool
jigsaw.title.name,jigsaw_block.name
jigsaw.title.target,jigsaw_block.target
jigsaw.title.final_block,jigsaw_block.final_state
jigsaw.title.joint_type,jigsaw_block.joint_label
jigsaw.title.joint_type.aligned,jigsaw_block.joint.aligned
jigsaw.joint_type.aligned,jigsaw_block.joint.aligned
jigsaw.joint_type.rollable,jigsaw_block.joint.rollable
jigsaw.exit.done,gui.done
jigsaw.exit.cancel,gui.cancel
joincode.icon_text.null,mco.configure.world.slot.empty
joincode.icon_text.3,block.minecraft.rail
joincode.icon_text.5,item.minecraft.cookie
joincode.icon_text.8,block.minecraft.cake
joincode.icon_text.10,item.minecraft.water_bucket
joincode.icon_text.12,item.minecraft.apple
joincode.icon_text.13,item.minecraft.carrot
joincode.icon_text.14,entity.minecraft.panda
joincode.icon_text.15,book.signButton
joincode.icon_text.16,entity.minecraft.potion
joincode.icon_text.17,item.minecraft.filled_map
joincode.icon_text.18,entity.minecraft.llama
joincode.ip_entry.button_tts,mco.configure.world.buttons.moreoptions
key.attack,key.attack
key.back,key.back
key.categories.gameplay,key.categories.gameplay
key.categories.inventory,key.categories.inventory
key.categories.misc,key.categories.misc
key.categories.movement,key.categories.movement
key.categories.multiplayer,key.categories.multiplayer
key.categories.ui,key.categories.ui
key.command,key.command
key.forward,key.forward
key.fullscreen,key.fullscreen
key.hotbar.1,key.hotbar.1
key.hotbar.2,key.hotbar.2
key.hotbar.3,key.hotbar.3
key.hotbar.4,key.hotbar.4
key.hotbar.5,key.hotbar.5
key.hotbar.6,key.hotbar.6
key.hotbar.7,key.hotbar.7
key.hotbar.8,key.hotbar.8
key.hotbar.9,key.hotbar.9
key.inventory,key.categories.inventory
key.left,key.left
key.mouseButton,key.mouse
key.pickItem,key.pickItem
key.playerlist,key.playerlist
key.right,key.right
key.screenshot,key.screenshot
key.smoothCamera,key.smoothCamera
key.spectatorOutlines,key.spectatorOutlines
key.sprint,key.sprint
key.togglePerspective,key.togglePerspective
key.inGameMenu,menu.game
key.use,key.use
key.pause,key.keyboard.pause
keyboard.keyName.backspace,gui.back
keyboard.keyName.tab,key.keyboard.tab
keyboard.keyName.pause,key.keyboard.pause
keyboard.keyName.escape,key.keyboard.escape
keyboard.keyName.space,key.keyboard.space
keyboard.keyName.pgDown,key.keyboard.page.down
keyboard.keyName.pgUp,key.keyboard.page.up
keyboard.keyName.end,key.keyboard.end
keyboard.keyName.home,key.keyboard.home
keyboard.keyName.left,options.mainHand.left
keyboard.keyName.up,gui.up
keyboard.keyName.right,options.mainHand.right
keyboard.keyName.down,gui.down
keyboard.keyName.insert,key.keyboard.insert
keyboard.keyName.delete,key.keyboard.delete
keyboard.keyName.i,enchantment.level.1
keyboard.keyName.v,enchantment.level.5
keyboard.keyName.x,enchantment.level.10
keyboard.keyName.f1,key.keyboard.f1
keyboard.keyName.f2,key.keyboard.f2
keyboard.keyName.f3,key.keyboard.f3
keyboard.keyName.f4,key.keyboard.f4
keyboard.keyName.f5,key.keyboard.f5
keyboard.keyName.f6,key.keyboard.f6
keyboard.keyName.f7,key.keyboard.f7
keyboard.keyName.f8,key.keyboard.f8
keyboard.keyName.f9,key.keyboard.f9
keyboard.keyName.f10,key.keyboard.f10
keyboard.keyName.f11,key.keyboard.f11
keyboard.keyName.f12,key.keyboard.f12
keyboard.keyName.f13,key.keyboard.f13
keyboard.keyName.backspace.short,gui.back
keyboard.keyName.tab.short,key.keyboard.tab
keyboard.keyName.pause.short,key.keyboard.pause
keyboard.keyName.space.short,key.keyboard.space
keyboard.keyName.end.short,key.keyboard.end
keyboard.keyName.home.short,key.keyboard.home
keyboard.keyName.left.short,options.mainHand.left
keyboard.keyName.up.short,gui.up
keyboard.keyName.right.short,options.mainHand.right
keyboard.keyName.down.short,gui.down
keyboard.keyName.minus.short,key.keyboard.minus
keyboard.keyName.grave.short,key.keyboard.grave.accent
keyboard.keyName.slash.short,key.keyboard.slash
keyboard.keyName.semicolon.short,key.keyboard.semicolon
keyboard.keyName.apostrophe.short,key.keyboard.apostrophe
keyboard.keyName.comma.short,key.keyboard.comma
keyboard.keyName.period.short,key.keyboard.period
keyboard.keyName.backslash.short,key.keyboard.backslash
keyboard.keyName.lbracket.short,key.keyboard.left.bracket
keyboard.keyName.rbracket.short,key.keyboard.right.bracket
lanServer.otherPlayers,lanServer.otherPlayers
lanServer.scanning,lanServer.scanning
lanServer.start,lanServer.start
lanServer.title,lanServer.title
licensed_content.goBack,dataPack.validation.back
map.toolTip.scaling,filled_map.scale
map.toolTip.unkown,filled_map.unknown
map.toolTip.locked,filled_map.locked
menu.disconnect,menu.disconnect
menu.game,menu.game
menu.generatingLevel,menu.generatingLevel
menu.generatingTerrain,menu.generatingTerrain
menu.loadingLevel,menu.loadingLevel
menu.multiplayer,menu.multiplayer
menu.online,menu.online
menu.options,options.title
menu.settings,mco.configure.world.settings.title
menu.settings.caps,mco.configure.world.buttons.edit
menu.serverGenericName,pack.source.server
menu.play,mco.brokenworld.play
menu.playdemo,menu.playdemo
menu.resetdemo,menu.resetdemo
menu.worldtemplates,mco.reset.world.template
menu.respawning,menu.respawning
menu.returnToMenu,menu.returnToMenu
menu.shareToLan,menu.shareToLan
menu.singleplayer,menu.singleplayer
mount.onboard,mount.onboard
multiplayer.player.joined,multiplayer.player.joined
multiplayer.player.joined.renamed,multiplayer.player.joined.renamed
multiplayer.player.left,multiplayer.player.left
multiplayer.stopSleeping,multiplayer.stopSleeping
multiplayer.playersSleeping,sleep.players_sleeping
multiplayer.playersSleepingNotPossible,sleep.not_possible
multiplayer.playersSkippingNight,sleep.skipping_night
multiplayer.texturePrompt.line1,multiplayer.texturePrompt.line1
multiplayer.texturePrompt.line2,multiplayer.texturePrompt.line2
multiplayer.title,multiplayer.title
multiplayer.inBedOpenChat,key.chat
npcscreen.learnmore,mco.snapshotRealmsPopup.urlText
npcscreen.name,mco.backup.entry.name
offer.category.worldtemplate,mco.configure.worlds.title
offer.navigationTab.worlds,mco.configure.worlds.title
options.attribution,credits_and_attribution.button.attribution
options.ao,options.ao
options.ao.max,options.ao.max
options.ao.min,options.ao.min
options.ao.off,options.ao.off
options.category.game,createWorld.tab.game.title
options.category.graphics,options.graphics
options.category.input,controls.title
options.category.server,pack.source.server
options.chat.color,options.chat.color
options.chat.height.focused,options.chat.height.focused
options.chat.height.unfocused,options.chat.height.unfocused
options.chat.links,options.chat.links
options.chat.links.prompt,options.chat.links.prompt
options.chat.scale,attribute.name.generic.scale
options.chat.title,options.chat
options.chat.visibility,options.chat.visibility
options.chat.visibility.full,options.chat.visibility.full
options.chat.visibility.hidden,options.chat.visibility.hidden
options.chat.visibility.system,options.chat.visibility.system
options.chat.width,options.chat.width
options.controls,options.controls
options.credits,credits_and_attribution.button.credits
options.crouch,key.sneak
options.customizeTitle,options.customizeTitle
options.delete_account.confirm.button,selectWorld.deleteButton
options.dev_chunk_map_mode_off,options.ao.off
options.dev_chunk_map_mode_server_chunk_state,pack.source.server
options.dev_enableDebugHudOverlay.off,options.ao.off
options.dev_nethernet_logging_verbosity.disabled,addServer.resourcePack.disabled
options.dev_render_attach_pos.none,options.ao.off
options.dev_render_attach_pos.all,options.particles.all
options.dev_connection_quality.no_limit,options.framerateLimit.max
options.discoveryEnvironment.local,pack.source.local
options.dev_realms_environment.local,pack.source.local
options.dev_realms_sku.default,options.gamma.default
options.dev_resetToDefault,dataPack.validation.reset
options.dev_overrideDateMonth,mco.configure.world.subscription.month
options.dev_overrideDateDay,mco.configure.world.subscription.day
options.dev_education_environment.local,pack.source.local
options.difficulty,options.difficulty
options.difficulty.easy,options.difficulty.easy
options.difficulty.hard,options.difficulty.hard
options.difficulty.hardcore,options.difficulty.hardcore
options.difficulty.normal,options.difficulty.normal
options.difficulty.peaceful,options.difficulty.peaceful
options.entityShadows,options.entityShadows
options.forceUnicodeFont,options.forceUnicodeFont
options.fov,options.fov
options.licenses,credits_and_attribution.button.licenses
options.default.format,disconnect.genericReason
options.percent.format,optimizeWorld.progress.percentage
options.fov.max,options.fov.max
options.fov.min,options.fov.min
options.hudOpacity.max,options.difficulty.normal
options.hudOpacity.min,options.hidden
options.framerateLimit,options.framerateLimit
options.framerateLimit.max,options.framerateLimit.max
options.fullscreen,options.fullscreen
options.gamma,options.gamma
options.gamma.max,options.gamma.max
options.gamma.min,options.gamma.min
options.smooth_lighting,options.ao
options.graphics.fancy,options.graphics.fancy
options.graphics.fast,options.graphics.fast
options.renderingProfile,options.graphics
options.renderingProfile.fancy,options.graphics.fancy
options.group.game,createWorld.tab.game.title
options.group.graphics,options.graphics
options.group.graphics.experimental,selectWorld.experimental
options.group.input,controls.title
options.group.multiplayer,menu.multiplayer
options.guiScale.auto,options.guiScale.auto
options.guiScale.maximum,options.ao.max
options.guiScale.minimum,options.ao.min
options.guiScale.normal,options.difficulty.normal
options.hidden,options.hidden
options.interactionmodel.crosshair,options.attack.crosshair
options.sneakOption,key.sneak
options.textBackgroundOpacity,options.accessibility.text_background_opacity
options.hold,options.key.hold
options.invertMouse,options.invertMouse
options.language,options.language.title
options.languageGuiScaleCompatibility.cancel,dataPack.validation.back
options.cancel,gui.cancel
options.mipmapLevels,options.mipmapLevels
options.modelPart.cape,options.modelPart.cape
options.modelPart.hat,options.modelPart.hat
options.modelPart.jacket,options.modelPart.jacket
options.modelPart.left_pants_leg,options.modelPart.left_pants_leg
options.modelPart.left_sleeve,options.modelPart.left_sleeve
options.modelPart.right_pants_leg,options.modelPart.right_pants_leg
options.modelPart.right_sleeve,options.modelPart.right_sleeve
options.multiplayer.title,options.multiplayer.title
options.music,soundCategory.music
options.name,mco.backup.entry.name
options.off,options.off
options.on,options.on
options.particles,options.particles
options.particles.all,options.particles.all
options.particles.decreased,options.particles.decreased
options.particles.minimal,options.particles.minimal
options.general,stat.generalButton
options.reducedDebugInfo,options.reducedDebugInfo
options.renderDistance,options.renderDistance
options.raytracing.renderDistanceFormat,options.chunks
options.deferred.renderDistanceFormat,options.chunks
options.renderDistanceFormat,options.chunks
options.resetSettings,dataPack.validation.reset
options.maxFramerateFormat,options.framerate
options.renderDistance.normal,options.difficulty.normal
options.saturation,effect.minecraft.saturation
options.sensitivity.max,options.sensitivity.max
options.sensitivity.min,options.sensitivity.min
options.sliderLabelFormat,options.generic_value
options.skinCustomisation,options.skinCustomisation
options.skinCustomisation.title,options.skinCustomisation.title
options.accessibility,narrator.button.accessibility
options.accessibility.title,options.accessibility.title
options.glintStrength,options.glintStrength
options.glintSpeed,options.glintSpeed
options.stream.chat.enabled.always,team.collision.always
options.stream.chat.enabled.never,team.collision.never
options.title,options.title
options.toggle,options.key.toggle
options.toggleCrouch,key.sneak
options.touchscreen,options.touchscreen
options.viewSubscriptions.button.price,disconnect.genericReason
options.videoTitle,options.videoTitle
options.viewBobbing,options.viewBobbing
options.visible,options.visible
options.autoUpdateMode.off,options.ao.off
options.continue,gui.continue
options.edit,selectWorld.edit
options.goBack,dataPack.validation.back
options.graphicsMode.fancy,options.graphics.fancy
options.volumetricFogQuality.off,options.ao.off
patchNotes.continue,gui.continue
sunsetting.store.incompatible,pack.incompatible
pauseScreen.back,menu.returnToGame
pauseScreen.header,menu.game
pauseScreen.options,options.title
pauseScreen.title,menu.paused
hudScreen.tooltip.basic.back,gui.back
hudScreen.tooltip.basic.chat,options.accessibility.text_background.chat
hudScreen.tooltip.basic.jump,key.jump
hudScreen.tooltip.basic.left,options.mainHand.left
hudScreen.tooltip.basic.right,options.mainHand.right
hudScreen.tooltip.basic.sneak,key.sneak
hudScreen.tooltip.crafting,container.crafting
hudScreen.tooltip.inventory,container.inventory
hudScreen.tooltip.empty,mco.configure.world.slot.empty
hudScreen.tooltip.edit_sign,selectWorld.edit
hudScreen.tooltip.insert,key.keyboard.insert
hudScreen.controlCustomization.exit,mco.configure.world.buttons.done
hudScreen.controlCustomization.scale,attribute.name.generic.scale
hudScreen.controlCustomization.closeWithoutSavingCancel,gui.abuseReport.discard.return
playscreen.header.local,mco.brokenworld.play
playscreen.realmExpired,mco.configure.world.subscription.expired
playscreen.worlds,mco.configure.worlds.title
playscreen.delete.legacy.confirm,selectWorld.deleteButton
permissions.GoBack,dataPack.validation.back
permissions.Continue,gui.continue
permissions.level.operator,mco.configure.world.invites.ops.tooltip
permissions.nocheats.cancel,gui.cancel
permissions.operator,mco.configure.world.invites.ops.tooltip
potion.absorption,effect.minecraft.absorption
potion.blindness,effect.minecraft.blindness
potion.conduitPower,effect.minecraft.conduit_power
potion.confusion,effect.minecraft.nausea
potion.damageBoost,effect.minecraft.strength
potion.damageBoost.name,item.minecraft.potion.effect.strength
potion.damageBoost.splash.name,item.minecraft.splash_potion.effect.strength
potion.damageBoost.linger.name,item.minecraft.lingering_potion.effect.strength
potion.digSlowDown,effect.minecraft.mining_fatigue
potion.digSpeed,effect.minecraft.haste
potion.effects.whenDrank,potion.whenDrank
potion.empty,effect.none
potion.emptyPotion.name,item.minecraft.potion.effect.water
potion.emptyPotion.splash.name,item.minecraft.splash_potion.effect.water
potion.emptyPotion.linger.name,item.minecraft.lingering_potion.effect.water
potion.fireResistance,effect.minecraft.fire_resistance
potion.fireResistance.name,item.minecraft.potion.effect.fire_resistance
potion.fireResistance.splash.name,item.minecraft.splash_potion.effect.fire_resistance
potion.fireResistance.linger.name,item.minecraft.lingering_potion.effect.fire_resistance
potion.harm,effect.minecraft.instant_damage
potion.harm.name,item.minecraft.potion.effect.harming
potion.harm.splash.name,item.minecraft.splash_potion.effect.harming
potion.harm.linger.name,item.minecraft.lingering_potion.effect.harming
potion.heal,effect.minecraft.instant_health
potion.heal.name,item.minecraft.potion.effect.healing
potion.heal.splash.name,item.minecraft.splash_potion.effect.healing
potion.heal.linger.name,item.minecraft.lingering_potion.effect.healing
potion.healthBoost,effect.minecraft.health_boost
potion.hunger,effect.minecraft.hunger
potion.invisibility,effect.minecraft.invisibility
potion.invisibility.name,item.minecraft.potion.effect.invisibility
potion.invisibility.splash.name,item.minecraft.splash_potion.effect.invisibility
potion.invisibility.linger.name,item.minecraft.lingering_potion.effect.invisibility
potion.jump,effect.minecraft.jump_boost
potion.jump.name,item.minecraft.potion.effect.leaping
potion.jump.splash.name,item.minecraft.splash_potion.effect.leaping
potion.jump.linger.name,item.minecraft.lingering_potion.effect.leaping
potion.levitation,effect.minecraft.levitation
potion.moveSlowdown,effect.minecraft.slowness
potion.moveSlowdown.name,item.minecraft.potion.effect.slowness
potion.moveSlowdown.splash.name,item.minecraft.splash_potion.effect.slowness
potion.moveSlowdown.linger.name,item.minecraft.lingering_potion.effect.slowness
potion.slowFalling,effect.minecraft.slow_falling
potion.slowFalling.name,item.minecraft.potion.effect.slow_falling
potion.slowFalling.splash.name,item.minecraft.splash_potion.effect.slow_falling
potion.slowFalling.linger.name,item.minecraft.lingering_potion.effect.slow_falling
potion.moveSpeed,attribute.name.generic.movement_speed
potion.moveSpeed.name,item.minecraft.potion.effect.swiftness
potion.moveSpeed.splash.name,item.minecraft.splash_potion.effect.swiftness
potion.moveSpeed.linger.name,item.minecraft.lingering_potion.effect.swiftness
potion.nightVision,effect.minecraft.night_vision
potion.nightVision.name,item.minecraft.potion.effect.night_vision
potion.nightVision.splash.name,item.minecraft.splash_potion.effect.night_vision
potion.nightVision.linger.name,item.minecraft.lingering_potion.effect.night_vision
potion.poison,effect.minecraft.poison
potion.poison.name,item.minecraft.potion.effect.poison
potion.poison.splash.name,item.minecraft.splash_potion.effect.poison
potion.poison.linger.name,item.minecraft.lingering_potion.effect.poison
potion.potency.0,potion.potency.0
potion.potency.1,potion.potency.1
potion.potency.2,potion.potency.2
potion.potency.3,potion.potency.3
potion.potency.4,potion.potency.4
potion.potency.5,potion.potency.5
potion.awkward.name,item.minecraft.potion.effect.awkward
potion.mundane.name,item.minecraft.potion.effect.mundane
potion.thick.name,item.minecraft.potion.effect.thick
potion.regeneration,effect.minecraft.regeneration
potion.regeneration.name,item.minecraft.potion.effect.regeneration
potion.regeneration.splash.name,item.minecraft.splash_potion.effect.regeneration
potion.regeneration.linger.name,item.minecraft.lingering_potion.effect.regeneration
potion.resistance,effect.minecraft.resistance
potion.saturation,effect.minecraft.saturation
potion.turtleMaster,effect.minecraft.slowness
potion.turtleMaster2,effect.minecraft.resistance
potion.turtleMaster.name,item.minecraft.potion.effect.turtle_master
potion.turtleMaster.splash.name,item.minecraft.splash_potion.effect.turtle_master
potion.turtleMaster.linger.name,item.minecraft.lingering_potion.effect.turtle_master
potion.waterBreathing,effect.minecraft.water_breathing
potion.waterBreathing.name,item.minecraft.potion.effect.water_breathing
potion.waterBreathing.splash.name,item.minecraft.splash_potion.effect.water_breathing
potion.waterBreathing.linger.name,item.minecraft.lingering_potion.effect.water_breathing
potion.weakness,effect.minecraft.weakness
potion.weakness.name,item.minecraft.potion.effect.weakness
potion.weakness.splash.name,item.minecraft.splash_potion.effect.weakness
potion.weakness.linger.name,item.minecraft.lingering_potion.effect.weakness
potion.wither,entity.minecraft.wither
progressScreen.generating,menu.generatingLevel
progressScreen.saving,menu.savingLevel
progressScreen.message.building,menu.generatingTerrain
progressScreen.dialog.button.join,mco.configure.world.slot.tooltip.active
raid.name,event.minecraft.raid
raid.victory,event.minecraft.raid.victory
raid.defeat,event.minecraft.raid.defeat
recipeBook.setting.off,options.ao.off
recipeToast.newUnlock.descriptionRecipeBook,recipe.toast.description
record.nowPlaying,record.nowPlaying
resourcePack.realmsPlus.expired,mco.configure.world.subscription.expired
resourcePack.title,resourcePack.title
resourcePack.editPackDone,mco.configure.world.buttons.done
sidebar.adventure,selectWorld.gameMode.adventure
sidebar.minigame,mco.worldSlot.minigame
sidebar.survival,selectWorld.gameMode.survival
sidebar.worlds,mco.configure.worlds.title
storageManager.contentType.world,selectWorld.world
storageManager.contentType.worldTemplate,mco.template.default.name
storageManager.contentType.worlds,mco.configure.worlds.title
storageManager.contentType.worldTemplates,mco.reset.world.template
storageManager.sync_legacy_worlds.conversion_complete.cancel_button,mco.selectServer.close
storageManager.sync_legacy_worlds.conversion_explanation.cancel_button,gui.cancel
tile.sculk_sensor.name,block.minecraft.sculk_sensor
tile.sculk.name,block.minecraft.sculk
tile.sculk_vein.name,block.minecraft.sculk_vein
tile.sculk_catalyst.name,block.minecraft.sculk_catalyst
tile.sculk_shrieker.name,block.minecraft.sculk_shrieker
tile.reinforced_deepslate.name,block.minecraft.reinforced_deepslate
itemGroup.name.sculk,block.minecraft.sculk
effect.darkness,effect.minecraft.darkness
entity.frog.name,entity.minecraft.frog
entity.tadpole.name,entity.minecraft.tadpole
entity.warden.name,entity.minecraft.warden
entity.allay.name,entity.minecraft.allay
item.bucketTadpole.name,item.minecraft.tadpole_bucket
tile.frog_spawn.name,block.minecraft.frogspawn
tile.pearlescent_froglight.name,block.minecraft.pearlescent_froglight
tile.verdant_froglight.name,block.minecraft.verdant_froglight
tile.ochre_froglight.name,block.minecraft.ochre_froglight
tile.mud.name,block.minecraft.mud
tile.packed_mud.name,block.minecraft.packed_mud
tile.mud_bricks.name,block.minecraft.mud_bricks
tile.mud_brick_slab.name,block.minecraft.mud_brick_slab
tile.mud_brick_stairs.name,block.minecraft.mud_brick_stairs
tile.mud_brick_wall.name,block.minecraft.mud_brick_wall
tile.mangrove_leaves.name,block.minecraft.mangrove_leaves
tile.mangrove_propagule.name,block.minecraft.mangrove_propagule
tile.mangrove_roots.name,block.minecraft.mangrove_roots
tile.muddy_mangrove_roots.name,block.minecraft.muddy_mangrove_roots
item.chest_boat.oak.name,item.minecraft.oak_chest_boat
item.chest_boat.spruce.name,item.minecraft.spruce_chest_boat
item.chest_boat.birch.name,item.minecraft.birch_chest_boat
item.chest_boat.jungle.name,item.minecraft.jungle_chest_boat
item.chest_boat.acacia.name,item.minecraft.acacia_chest_boat
item.chest_boat.big_oak.name,item.minecraft.dark_oak_chest_boat
item.chest_boat.mangrove.name,item.minecraft.mangrove_chest_boat
tile.mangrove_log.name,block.minecraft.mangrove_log
tile.stripped_mangrove_log.name,block.minecraft.stripped_mangrove_log
tile.mangrove_planks.name,block.minecraft.mangrove_planks
tile.mangrove_button.name,block.minecraft.mangrove_button
tile.mangrove_stairs.name,block.minecraft.mangrove_stairs
tile.mangrove_slab.name,block.minecraft.mangrove_slab
tile.mangrove_pressure_plate.name,block.minecraft.mangrove_pressure_plate
tile.mangrove_fence.name,block.minecraft.mangrove_fence
tile.mangrove_fence_gate.name,block.minecraft.mangrove_fence_gate
item.mangrove_door.name,block.minecraft.mangrove_door
item.mangrove_sign.name,block.minecraft.mangrove_sign
tile.mangrove_trapdoor.name,block.minecraft.mangrove_trapdoor
tile.mangrove_wood.name,block.minecraft.mangrove_wood
tile.stripped_mangrove_wood.name,block.minecraft.stripped_mangrove_wood
item.boat.mangrove.name,item.minecraft.mangrove_boat
item.echo_shard.name,item.minecraft.echo_shard
item.recovery_compass.name,item.minecraft.recovery_compass
item.disc_fragment.name,item.minecraft.disc_fragment_5
item.disc_fragment_5.desc,item.minecraft.disc_fragment_5.desc
item.record_5.desc,item.minecraft.music_disc_5.desc
entity.chest_boat.name,entity.minecraft.chest_boat
container.smithing_table.arrow_tooltip_cannot_craft,container.upgrade.error_tooltip
container.smithing_table.input_slot_tooltip_armor_trim,item.minecraft.smithing_template.armor_trim.base_slot_description
container.smithing_table.input_slot_tooltip_netherite,item.minecraft.smithing_template.netherite_upgrade.base_slot_description
container.smithing_table.material_slot_tooltip_armor_trim,item.minecraft.smithing_template.armor_trim.additions_slot_description
container.smithing_table.material_slot_tooltip_netherite,item.minecraft.smithing_template.netherite_upgrade.additions_slot_description
container.smithing_table.template_slot_tooltip,container.upgrade.missing_template_tooltip
entity.camel.name,entity.minecraft.camel
howtoplay.smithing_table.title,block.minecraft.smithing_table
howtoplay.smithing_table,block.minecraft.smithing_table
hudScreen.tooltip.brush,item.minecraft.brush
item.acacia_hanging_sign.name,block.minecraft.acacia_hanging_sign
item.angler_pottery_sherd.name,item.minecraft.angler_pottery_sherd
item.archer_pottery_sherd.name,item.minecraft.archer_pottery_sherd
item.arms_up_pottery_sherd.name,item.minecraft.arms_up_pottery_sherd
item.bamboo_door.name,block.minecraft.bamboo_door
item.bamboo_hanging_sign.name,block.minecraft.bamboo_hanging_sign
item.bamboo_sign.name,block.minecraft.bamboo_sign
item.birch_hanging_sign.name,block.minecraft.birch_hanging_sign
item.blade_pottery_sherd.name,item.minecraft.blade_pottery_sherd
item.boat.bamboo.name,item.minecraft.bamboo_raft
item.boat.cherry.name,item.minecraft.cherry_boat
item.brewer_pottery_sherd.name,item.minecraft.brewer_pottery_sherd
item.brush.name,item.minecraft.brush
item.burn_pottery_sherd.name,item.minecraft.burn_pottery_sherd
item.cherry_door.name,block.minecraft.cherry_door
item.cherry_hanging_sign.name,block.minecraft.cherry_hanging_sign
item.cherry_sign.name,block.minecraft.cherry_sign
item.chest_boat.bamboo.name,item.minecraft.bamboo_chest_raft
item.chest_boat.cherry.name,item.minecraft.cherry_chest_boat
item.crimson_hanging_sign.name,block.minecraft.crimson_hanging_sign
item.danger_pottery_sherd.name,item.minecraft.danger_pottery_sherd
item.dark_oak_hanging_sign.name,block.minecraft.dark_oak_hanging_sign
item.explorer_pottery_sherd.name,item.minecraft.explorer_pottery_sherd
item.friend_pottery_sherd.name,item.minecraft.friend_pottery_sherd
item.heart_pottery_sherd.name,item.minecraft.heart_pottery_sherd
item.heartbreak_pottery_sherd.name,item.minecraft.heartbreak_pottery_sherd
item.howl_pottery_sherd.name,item.minecraft.howl_pottery_sherd
item.jungle_hanging_sign.name,block.minecraft.jungle_hanging_sign
item.mangrove_hanging_sign.name,block.minecraft.mangrove_hanging_sign
item.miner_pottery_sherd.name,item.minecraft.miner_pottery_sherd
item.mourner_pottery_sherd.name,item.minecraft.mourner_pottery_sherd
item.oak_hanging_sign.name,block.minecraft.oak_hanging_sign
item.plenty_pottery_sherd.name,item.minecraft.plenty_pottery_sherd
item.prize_pottery_sherd.name,item.minecraft.prize_pottery_sherd
item.sheaf_pottery_sherd.name,item.minecraft.sheaf_pottery_sherd
item.shelter_pottery_sherd.name,item.minecraft.shelter_pottery_sherd
item.skull_pottery_sherd.name,item.minecraft.skull_pottery_sherd
item.skull.piglin.name,block.minecraft.piglin_head
item.smithing_template.applies_to,item.minecraft.smithing_template.applies_to
item.smithing_template.armor_trim.applies_to,item.minecraft.smithing_template.armor_trim.applies_to
item.smithing_template.armor_trim.ingredients,item.minecraft.smithing_template.armor_trim.ingredients
item.smithing_template.ingredients,item.minecraft.smithing_template.ingredients
item.smithing_template.name,item.minecraft.smithing_template
item.smithing_template.netherite_upgrade.applies_to,item.minecraft.smithing_template.netherite_upgrade.applies_to
item.smithing_template.netherite_upgrade.ingredients,item.minecraft.smithing_template.netherite_upgrade.ingredients
